image_path,target
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\T\T6.jpg,46.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\S\S71.jpg,40.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\K\K22.jpg,22.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Cvekje\Cvekje118.jpg,8.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Kolache\Kolache158.jpg,23.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Zamenki\Zamenki16.jpg,55.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Sin\Sin203.jpg,44.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Z\Z78.jpg,53.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\DJ\DJ177.jpg,10.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\ZH\ZH8.jpg,54.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Svekja\Svekja85.jpg,45.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\G\G188.jpg,17.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Zamenki\Zamenki199.jpg,55.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Vilushka\Vilushka21.jpg,52.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Krst\Krst136.jpg,25.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Pritisok\Pritisok129.jpg,36.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\N\N102.jpg,31.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\LJ\LJ53.jpg,28.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\B\B87.jpg,3.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Kukja\Kukja191.jpg,26.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Cvekje\Cvekje201.jpg,8.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Centar\Centar82.jpg,7.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Svekja\Svekja96.jpg,45.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Svekja\Svekja13.jpg,45.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\S\S178.jpg,40.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Vilushka\Vilushka77.jpg,52.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\R\R81.jpg,38.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\DJ\DJ208.jpg,10.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Javanje\Javanje37.jpg,21.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\DZ\DZ38.jpg,11.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Peperutka\Peperutka162.jpg,35.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\H\H168.jpg,18.0
